target,target_id,target_popularity,target_followers,source
Planet Hemp,3nasa4yabzvUeb6DzejDYU,54,566413,Marcelo D2
Planta E Raiz,5fKHm5RVUWIIirTGZlwGeO,59,638164,Marcelo D2
Ponto De Equilíbrio,6crUnfFtxFx7u9OGE1AHZo,59,825828,Marcelo D2
Mato Seco,2b3gMC15SnC8mwjnYiUXvx,53,445887,Marcelo D2
Gabriel O Pensador,5BWqFYIPTnFx3OPWOoJvmD,59,1207669,Marcelo D2
Black Alien,6aCbXH85qN6xo54C7atSMx,65,330508,Marcelo D2
ConeCrewDiretoria,0iUdFhwiXjGQWAt9yXPP1T,57,769241,Marcelo D2
O Rappa,1A5QJAC1vdhbhPE25Q0x0f,69,2982506,Marcelo D2
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,60,640937,Marcelo D2
Criolo,37ZflmHTdxkSLQuT8w9NBs,64,906174,Marcelo D2
Natiruts,4PhdYoQGH8s1xee81dqQOO,72,2675600,Marcelo D2
Emicida,2d9LRvQJnAXRijqIJDDs2K,70,1663772,Marcelo D2
RZO,1CQJtHMGhqvrSZiRTjSeOU,48,364147,Marcelo D2
Rappin' Hood,7cLvBjizqjjdC350aOQ2KW,44,122610,Marcelo D2
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,69,3795619,Marcelo D2
Flora Matos,5Znx4PG5UsUitigaJnmZX3,57,440986,Marcelo D2
Kamau,2oB7m9exCPwJ8jwDgKWjho,44,74879,Marcelo D2
Rodrigo Ogi,74DmeplOsb1zShj5BqqkbQ,45,62284,Marcelo D2
Sabotage,5deK5HnwbEKvge2svL0i0B,60,770881,Marcelo D2
De Leve,36BZD4FCNMALjIkKSpJABE,37,36719,Marcelo D2
Planet Hemp,3nasa4yabzvUeb6DzejDYU,54,566413,Black Alien
De Leve,36BZD4FCNMALjIkKSpJABE,37,36719,Black Alien
RZO,1CQJtHMGhqvrSZiRTjSeOU,48,364147,Black Alien
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,65,1030053,Black Alien
Flora Matos,5Znx4PG5UsUitigaJnmZX3,57,440986,Black Alien
Criolo,37ZflmHTdxkSLQuT8w9NBs,64,906174,Black Alien
Emicida,2d9LRvQJnAXRijqIJDDs2K,70,1663772,Black Alien
Kamau,2oB7m9exCPwJ8jwDgKWjho,44,74879,Black Alien
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,60,640937,Black Alien
Shawlin,21ebZl1YQNDiLcWYhgecph,36,36264,Black Alien
Rappin' Hood,7cLvBjizqjjdC350aOQ2KW,44,122610,Black Alien
Ponto De Equilíbrio,6crUnfFtxFx7u9OGE1AHZo,59,825828,Black Alien
Mato Seco,2b3gMC15SnC8mwjnYiUXvx,53,445887,Black Alien
Rashid,5WgRuO0mhM36NFoapzpWBH,63,589611,Black Alien
Sabotage,5deK5HnwbEKvge2svL0i0B,60,770881,Black Alien
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,69,3795619,Black Alien
Mc Marechal,5YZEcrC3yHeiZ1bBvwKRUF,38,173359,Black Alien
Rodrigo Ogi,74DmeplOsb1zShj5BqqkbQ,45,62284,Black Alien
ConeCrewDiretoria,0iUdFhwiXjGQWAt9yXPP1T,57,769241,Black Alien
SNJ,53eJax5oXY1SqAwVjSO7Uk,39,155955,Black Alien
Emicida,2d9LRvQJnAXRijqIJDDs2K,70,1663772,Criolo
Black Alien,6aCbXH85qN6xo54C7atSMx,65,330508,Criolo
RZO,1CQJtHMGhqvrSZiRTjSeOU,48,364147,Criolo
Rashid,5WgRuO0mhM36NFoapzpWBH,63,589611,Criolo
Flora Matos,5Znx4PG5UsUitigaJnmZX3,57,440986,Criolo
Kamau,2oB7m9exCPwJ8jwDgKWjho,44,74879,Criolo
Mato Seco,2b3gMC15SnC8mwjnYiUXvx,53,445887,Criolo
Planet Hemp,3nasa4yabzvUeb6DzejDYU,54,566413,Criolo
ConeCrewDiretoria,0iUdFhwiXjGQWAt9yXPP1T,57,769241,Criolo
Shawlin,21ebZl1YQNDiLcWYhgecph,36,36264,Criolo
Ponto De Equilíbrio,6crUnfFtxFx7u9OGE1AHZo,59,825828,Criolo
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,65,1030053,Criolo
Mc Marechal,5YZEcrC3yHeiZ1bBvwKRUF,38,173359,Criolo
SNJ,53eJax5oXY1SqAwVjSO7Uk,39,155955,Criolo
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,60,640937,Criolo
Rappin' Hood,7cLvBjizqjjdC350aOQ2KW,44,122610,Criolo
Rodrigo Ogi,74DmeplOsb1zShj5BqqkbQ,45,62284,Criolo
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,69,3795619,Criolo
Sabotage,5deK5HnwbEKvge2svL0i0B,60,770881,Criolo
De Leve,36BZD4FCNMALjIkKSpJABE,37,36719,Criolo
BK,1YOVBTvznjiDvtAj4ExHeo,69,557374,Djonga
Don L,6U98XWjrUPnPtPBjEprDmu,55,175677,Djonga
Baco Exu do Blues,78nr1pVnDR7qZH6QbVMYZf,64,685911,Djonga
Froid,45Yz90pqjzEdJzpEQg1eII,68,804256,Djonga
Hot e Oreia,2sxBXOW6WrpuO6rXZ3kHtE,51,55475,Djonga
ADL,6Ywb1no2hXLazjIs4LUiQD,51,225524,Djonga
Sant,7IlBcKrGUBJ0NKdnbDde89,63,330813,Djonga
Akira Presidente,6ZnwtQznVleZpEkQINdyfG,48,67702,Djonga
FBC,29QKtXMaVczUBDiI3aPBWS,57,83912,Djonga
Dfideliz,0oNOkdVXXFaWC9tPb7Ol10,70,480211,Djonga
Black Alien,6aCbXH85qN6xo54C7atSMx,65,330508,Djonga
Dalsin,6W2jVpE55n1wT0SrpxoeFk,52,225337,Djonga
Filipe Ret,7gJN8W0589FisSYJS17K54,75,1603643,Djonga
PrimeiraMente,3ljiSwQJmAVQVOXirjA2RT,48,367266,Djonga
Sain,26aPjwxSSJsGy6yQ19YL55,54,86342,Djonga
Coruja Bc1,6mw0OyFqwxCOmz1v3W3htO,49,215503,Djonga
Cacife Clandestino,2RKcy8YT2w2QYn0D7TjiIi,59,877057,Djonga
Febem,2Ip2jiEjsSe8pmRBzwTv5N,51,45642,Djonga
Luccas Carlos,5WFFFHVqeVk5tLuYh2KjQy,69,538197,Djonga
Cynthia Luz,0QHGCPmM4UgeNvrNPntSlu,68,691911,Djonga
Rashid,5WgRuO0mhM36NFoapzpWBH,63,589611,Emicida
Kamau,2oB7m9exCPwJ8jwDgKWjho,44,74879,Emicida
Flora Matos,5Znx4PG5UsUitigaJnmZX3,57,440986,Emicida
Projota,2zGf6lwQ9PxXdoeo5XXP2K,70,4940010,Emicida
Black Alien,6aCbXH85qN6xo54C7atSMx,65,330508,Emicida
ConeCrewDiretoria,0iUdFhwiXjGQWAt9yXPP1T,57,769241,Emicida
Planet Hemp,3nasa4yabzvUeb6DzejDYU,54,566413,Emicida
RZO,1CQJtHMGhqvrSZiRTjSeOU,48,364147,Emicida
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,69,3795619,Emicida
Criolo,37ZflmHTdxkSLQuT8w9NBs,64,906174,Emicida
Mc Marechal,5YZEcrC3yHeiZ1bBvwKRUF,38,173359,Emicida
Karol Conká,6ODCVWBfGNFUf1bpo0c2Ge,56,494381,Emicida
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,60,640937,Emicida
Mato Seco,2b3gMC15SnC8mwjnYiUXvx,53,445887,Emicida
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,65,1030053,Emicida
Oriente,0IVBT8qQNwvHLzOJL6kGpE,62,1141613,Emicida
Ponto De Equilíbrio,6crUnfFtxFx7u9OGE1AHZo,59,825828,Emicida
Rappin' Hood,7cLvBjizqjjdC350aOQ2KW,44,122610,Emicida
Slim Rimografia,4nvBf0lV2z3i1dDtuZjOxp,31,54806,Emicida
Shawlin,21ebZl1YQNDiLcWYhgecph,36,36264,Emicida
Dalsin,6W2jVpE55n1wT0SrpxoeFk,52,225337,Froid
Sain,26aPjwxSSJsGy6yQ19YL55,54,86342,Froid
Don L,6U98XWjrUPnPtPBjEprDmu,55,175677,Froid
DV Tribo,4cePVnCFqOt3chPXh4qAMr,37,68887,Froid
Sant,7IlBcKrGUBJ0NKdnbDde89,63,330813,Froid
Um Barril de Rap,4KgE1hgkCQ2hN8TB6rM94G,43,178762,Froid
BK,1YOVBTvznjiDvtAj4ExHeo,69,557374,Froid
ADL,6Ywb1no2hXLazjIs4LUiQD,51,225524,Froid
PrimeiraMente,3ljiSwQJmAVQVOXirjA2RT,48,367266,Froid
Cynthia Luz,0QHGCPmM4UgeNvrNPntSlu,68,691911,Froid
Diomedes Chinaski,6DDTbUgrNrVcAJFVrOjmVK,55,105855,Froid
Chris MC,0obu7Om4zu9ahul5DI4JtY,70,354185,Froid
Luiz Lins,0hWRVPGWjaXcEvg8l65Tx0,60,422059,Froid
Coruja Bc1,6mw0OyFqwxCOmz1v3W3htO,49,215503,Froid
Síntese,44A7vIMeuMh3AhjFTkj8B5,46,120600,Froid
Cacife Clandestino,2RKcy8YT2w2QYn0D7TjiIi,59,877057,Froid
Luccas Carlos,5WFFFHVqeVk5tLuYh2KjQy,69,538197,Froid
Sagaz,5rl6n6CUJu1WGsvzf5m8M8,47,171093,Froid
Menestrel,4eQ4RMjplRznwHA1UBNnXT,54,115537,Froid
Filipe Ret,7gJN8W0589FisSYJS17K54,75,1603643,Froid
Raimundos,3CfJckVRuukdJSvK3r89yJ,64,1127583,Gabriel O Pensador
O Rappa,1A5QJAC1vdhbhPE25Q0x0f,69,2982506,Gabriel O Pensador
Planet Hemp,3nasa4yabzvUeb6DzejDYU,54,566413,Gabriel O Pensador
Cidade Negra,4cx31cxKTg5L8blZE24qfZ,62,1074666,Gabriel O Pensador
O Surto,6SXLkJrpyA2cxh2B1Xq3b7,47,82247,Gabriel O Pensador
Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,76,4742417,Gabriel O Pensador
Natiruts,4PhdYoQGH8s1xee81dqQOO,72,2675600,Gabriel O Pensador
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,65,1030053,Gabriel O Pensador
Tihuana,6FvGIOpELnPLxPoyqotQ0Q,49,353081,Gabriel O Pensador
Ultraje a Rigor,3zkkrMSBLHuTKMI6I3fDWi,53,603631,Gabriel O Pensador
Velhas Virgens,1NG0y4OWAFilBtNB2Ey9jK,45,203561,Gabriel O Pensador
Planta E Raiz,5fKHm5RVUWIIirTGZlwGeO,59,638164,Gabriel O Pensador
Capital Inicial,4Z0yuwHVJBROVZqFpTIr0d,65,2176997,Gabriel O Pensador
Tribo De Jah,6oAqyhJILwJf9S3Of2zTuv,50,482339,Gabriel O Pensador
Titãs,2euX7vCVnJy3TVEGfc0RCl,65,1470923,Gabriel O Pensador
Ira!,7L5YQQJPL1wrmrdigJavV7,60,785249,Gabriel O Pensador
Detonautas Roque Clube,5AlUDdksfPP7l4Qm22MJA9,60,766393,Gabriel O Pensador
Mamonas Assassinas,5Q9RKJrjHdfpWVxzv45XTJ,59,931181,Gabriel O Pensador
Dazaranha,5Tj3XpWt9Z17NR581kYPQY,52,86740,Gabriel O Pensador
Mato Seco,2b3gMC15SnC8mwjnYiUXvx,53,445887,Gabriel O Pensador
Flora Matos,5Znx4PG5UsUitigaJnmZX3,57,440986,Karol Conká
Rashid,5WgRuO0mhM36NFoapzpWBH,63,589611,Karol Conká
Emicida,2d9LRvQJnAXRijqIJDDs2K,70,1663772,Karol Conká
Tassia Reis,0kc1BjcLHaXhZVzCp0HeAl,49,128929,Karol Conká
Rincon Sapiência,6syQjkQSMIrzw5cFnNRheo,55,238018,Karol Conká
Rico Dalasam,5nbaj9RaJdFNlS5ZxoqN97,50,71285,Karol Conká
Criolo,37ZflmHTdxkSLQuT8w9NBs,64,906174,Karol Conká
Drik Barbosa,1VJZvjGu80pBwk0qeJz8ZR,51,84855,Karol Conká
Black Alien,6aCbXH85qN6xo54C7atSMx,65,330508,Karol Conká
Kamau,2oB7m9exCPwJ8jwDgKWjho,44,74879,Karol Conká
Shawlin,21ebZl1YQNDiLcWYhgecph,36,36264,Karol Conká
SNJ,53eJax5oXY1SqAwVjSO7Uk,39,155955,Karol Conká
Marechal,3GUOShSqt7K9wSRgHu3ucX,15,35038,Karol Conká
Terra Preta,5ngE7XJPqw9CoOq3agu5FP,29,12567,Karol Conká
Nathy Mc,5Hh5JFQlFsF2xqhCzJuJCo,17,5780,Karol Conká
Slim Rimografia,4nvBf0lV2z3i1dDtuZjOxp,31,54806,Karol Conká
Mc Marechal,5YZEcrC3yHeiZ1bBvwKRUF,38,173359,Karol Conká
Projota,2zGf6lwQ9PxXdoeo5XXP2K,70,4940010,Karol Conká
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,60,640937,Karol Conká
Max B.O.,7rtewsbZDDw2iy0GcqYs8e,21,8004,Karol Conká
Planet Hemp,3nasa4yabzvUeb6DzejDYU,54,566413,Pavilhão 9
RZO,1CQJtHMGhqvrSZiRTjSeOU,48,364147,Pavilhão 9
Facção Central,3V3rRpp5sbiBNY34AdnplK,49,508863,Pavilhão 9
De Menos Crime,0MihNWp86Psp4ss7Evogvv,26,40781,Pavilhão 9
Rappin' Hood,7cLvBjizqjjdC350aOQ2KW,44,122610,Pavilhão 9
Mukeka di Rato,2WEABapGGzYET6Dq5tmIDi,36,19996,Pavilhão 9
Gritando HC,19XpD8usAYOdO3hwmQ06i4,27,13828,Pavilhão 9
Parteum,047rJvBYv0egT5SolmU7m4,31,28065,Pavilhão 9
Funk Fuckers,0iEdWdsDVzMk9ntoeH8gVo,10,2812,Pavilhão 9
509-E,1PA11Cy0SrjmwymvGS9h0C,47,233625,Pavilhão 9
SNJ,53eJax5oXY1SqAwVjSO7Uk,39,155955,Pavilhão 9
De Leve,36BZD4FCNMALjIkKSpJABE,37,36719,Pavilhão 9
Black Alien,6aCbXH85qN6xo54C7atSMx,65,330508,Pavilhão 9
Blind Pigs,2ByuJjoYOJ4Us8tzApEH4A,30,14648,Pavilhão 9
Dead Fish,7Lvg39k5XgXevGR767ikYI,49,151517,Pavilhão 9
Xis,1y8yhK12XTLCbWDs4aLgc1,38,45528,Pavilhão 9
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,60,640937,Pavilhão 9
Mato Seco,2b3gMC15SnC8mwjnYiUXvx,53,445887,Pavilhão 9
GOG,1JyFYHa051bTN8BH8nWa7e,40,85840,Pavilhão 9
BNegão,3wYrCJWf6iI5vuUDOnZdUw,46,14143,Pavilhão 9
Ponto De Equilíbrio,6crUnfFtxFx7u9OGE1AHZo,59,825828,Planet Hemp
Mato Seco,2b3gMC15SnC8mwjnYiUXvx,53,445887,Planet Hemp
Raimundos,3CfJckVRuukdJSvK3r89yJ,64,1127583,Planet Hemp
Marcelo D2,1vEN3d3dJbmdHQpXD6AIkL,65,1030053,Planet Hemp
Black Alien,6aCbXH85qN6xo54C7atSMx,65,330508,Planet Hemp
Gabriel O Pensador,5BWqFYIPTnFx3OPWOoJvmD,59,1207669,Planet Hemp
Planta E Raiz,5fKHm5RVUWIIirTGZlwGeO,59,638164,Planet Hemp
Tribo De Jah,6oAqyhJILwJf9S3Of2zTuv,50,482339,Planet Hemp
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,69,3795619,Planet Hemp
Emicida,2d9LRvQJnAXRijqIJDDs2K,70,1663772,Planet Hemp
Facção Central,3V3rRpp5sbiBNY34AdnplK,49,508863,Planet Hemp
O Rappa,1A5QJAC1vdhbhPE25Q0x0f,69,2982506,Planet Hemp
Pavilhão 9,5QTksGpRsgrYaFe1Gnf2AH,29,14466,Planet Hemp
RZO,1CQJtHMGhqvrSZiRTjSeOU,48,364147,Planet Hemp
ConeCrewDiretoria,0iUdFhwiXjGQWAt9yXPP1T,57,769241,Planet Hemp
De Leve,36BZD4FCNMALjIkKSpJABE,37,36719,Planet Hemp
Tihuana,6FvGIOpELnPLxPoyqotQ0Q,49,353081,Planet Hemp
MV Bill,4oE4ASN8auDhoW9vsXp3VJ,60,640937,Planet Hemp
O Surto,6SXLkJrpyA2cxh2B1Xq3b7,47,82247,Planet Hemp
Velhas Virgens,1NG0y4OWAFilBtNB2Ey9jK,45,203561,Planet Hemp
Ira!,7L5YQQJPL1wrmrdigJavV7,60,785249,Barão Vermelho
Os Paralamas Do Sucesso,7EM9m7HOXxVgP9oEpDDv70,66,1483664,Barão Vermelho
Legião Urbana,6tw6EpC9RgmSRZiZg0n22t,71,4205126,Barão Vermelho
Titãs,2euX7vCVnJy3TVEGfc0RCl,65,1470923,Barão Vermelho
Engenheiros Do Hawaii,0GNq4xh8uFCyihPurnunf7,67,1725245,Barão Vermelho
Capital Inicial,4Z0yuwHVJBROVZqFpTIr0d,65,2176997,Barão Vermelho
Ultraje a Rigor,3zkkrMSBLHuTKMI6I3fDWi,53,603631,Barão Vermelho
Skank,4C4kpaAdp6aKSkguw40SsU,69,2081497,Barão Vermelho
Biquini Cavadão,7E5dcvoiZra9wwBuXYAYTw,58,781661,Barão Vermelho
Lobão,3LWCuB9QxDmpLhhGwqU04N,50,295338,Barão Vermelho
Detonautas Roque Clube,5AlUDdksfPP7l4Qm22MJA9,60,766393,Barão Vermelho
Renato Russo,3QLc39WR4dQAN1SgierGgE,57,1954255,Barão Vermelho
Frejat,3WVjDclrbHsxjxhiOqHdnw,60,925525,Barão Vermelho
RPM,7lfmakKFOeQWdUrbmVK6EQ,55,685418,Barão Vermelho
Nando Reis,7n1XMwvxPf10t4OX6h6Ufy,70,2158052,Barão Vermelho
Tianastacia,3ucYi2JRu3j12lHbfqms9u,40,87609,Barão Vermelho
Nenhum De Nós,3bKO3mmizIpDdwNVdp96B9,58,672392,Barão Vermelho
Cidade Negra,4cx31cxKTg5L8blZE24qfZ,62,1074666,Barão Vermelho
Jota Quest,5re6NsyXzHg6uvNimzQ3F6,68,1702992,Barão Vermelho
Cazuza,1PwOU6fFbmaGkK3wkbb8fU,63,1311080,Barão Vermelho
Capital Inicial,4Z0yuwHVJBROVZqFpTIr0d,65,2176997,Biquini Cavadão
Skank,4C4kpaAdp6aKSkguw40SsU,69,2081497,Biquini Cavadão
Os Paralamas Do Sucesso,7EM9m7HOXxVgP9oEpDDv70,66,1483664,Biquini Cavadão
Ira!,7L5YQQJPL1wrmrdigJavV7,60,785249,Biquini Cavadão
Frejat,3WVjDclrbHsxjxhiOqHdnw,60,925525,Biquini Cavadão
Legião Urbana,6tw6EpC9RgmSRZiZg0n22t,71,4205126,Biquini Cavadão
Jota Quest,5re6NsyXzHg6uvNimzQ3F6,68,1702992,Biquini Cavadão
RPM,7lfmakKFOeQWdUrbmVK6EQ,55,685418,Biquini Cavadão
Engenheiros Do Hawaii,0GNq4xh8uFCyihPurnunf7,67,1725245,Biquini Cavadão
Renato Russo,3QLc39WR4dQAN1SgierGgE,57,1954255,Biquini Cavadão
Detonautas Roque Clube,5AlUDdksfPP7l4Qm22MJA9,60,766393,Biquini Cavadão
Nenhum De Nós,3bKO3mmizIpDdwNVdp96B9,58,672392,Biquini Cavadão
Titãs,2euX7vCVnJy3TVEGfc0RCl,65,1470923,Biquini Cavadão
Tianastacia,3ucYi2JRu3j12lHbfqms9u,40,87609,Biquini Cavadão
Tihuana,6FvGIOpELnPLxPoyqotQ0Q,49,353081,Biquini Cavadão
Barão Vermelho,5zq0SGWxrmzpTSXkBEQzMj,62,947240,Biquini Cavadão
Nando Reis,7n1XMwvxPf10t4OX6h6Ufy,70,2158052,Biquini Cavadão
Cidade Negra,4cx31cxKTg5L8blZE24qfZ,62,1074666,Biquini Cavadão
Catedral,0SJRRI0eT6oeymfwyWsImX,53,224840,Biquini Cavadão
Pedra Leticia,3RizejcAkXH07quZqFCtpU,48,203046,Biquini Cavadão
Detonautas Roque Clube,5AlUDdksfPP7l4Qm22MJA9,60,766393,Capital Inicial
Skank,4C4kpaAdp6aKSkguw40SsU,69,2081497,Capital Inicial
Jota Quest,5re6NsyXzHg6uvNimzQ3F6,68,1702992,Capital Inicial
Ira!,7L5YQQJPL1wrmrdigJavV7,60,785249,Capital Inicial
Biquini Cavadão,7E5dcvoiZra9wwBuXYAYTw,58,781661,Capital Inicial
Tihuana,6FvGIOpELnPLxPoyqotQ0Q,49,353081,Capital Inicial
Titãs,2euX7vCVnJy3TVEGfc0RCl,65,1470923,Capital Inicial
Os Paralamas Do Sucesso,7EM9m7HOXxVgP9oEpDDv70,66,1483664,Capital Inicial
Engenheiros Do Hawaii,0GNq4xh8uFCyihPurnunf7,67,1725245,Capital Inicial
Legião Urbana,6tw6EpC9RgmSRZiZg0n22t,71,4205126,Capital Inicial
Ultraje a Rigor,3zkkrMSBLHuTKMI6I3fDWi,53,603631,Capital Inicial
Nenhum De Nós,3bKO3mmizIpDdwNVdp96B9,58,672392,Capital Inicial
RPM,7lfmakKFOeQWdUrbmVK6EQ,55,685418,Capital Inicial
Barão Vermelho,5zq0SGWxrmzpTSXkBEQzMj,62,947240,Capital Inicial
Frejat,3WVjDclrbHsxjxhiOqHdnw,60,925525,Capital Inicial
Pedra Leticia,3RizejcAkXH07quZqFCtpU,48,203046,Capital Inicial
Mamonas Assassinas,5Q9RKJrjHdfpWVxzv45XTJ,59,931181,Capital Inicial
Cidade Negra,4cx31cxKTg5L8blZE24qfZ,62,1074666,Capital Inicial
Renato Russo,3QLc39WR4dQAN1SgierGgE,57,1954255,Capital Inicial
Nando Reis,7n1XMwvxPf10t4OX6h6Ufy,70,2158052,Capital Inicial
Os Paralamas Do Sucesso,7EM9m7HOXxVgP9oEpDDv70,66,1483664,Cazuza
Nando Reis,7n1XMwvxPf10t4OX6h6Ufy,70,2158052,Cazuza
Legião Urbana,6tw6EpC9RgmSRZiZg0n22t,71,4205126,Cazuza
Cássia Eller,10naVTwNjE50daQVrN0bXh,66,1553393,Cazuza
Ira!,7L5YQQJPL1wrmrdigJavV7,60,785249,Cazuza
